Num	Pinyin	IPA	Gender	Nt	F1	F2	F3	t
wa4	w\a`	wɑ	F	1	834;	1140;	3120;	0.203;
wai1	wāi	wa‍i	F	2	922;279;	1364;1518;	2817;2932;	0.254;0.394;
wai4	w\a`i	wa‍i	F	2	921;468;	1393;845;	2540;2753;	0.369;0.264;
wan1	wān	wɑn	F	1	835;	1173;	3189;	0.342;
wan2	w\a'n	wɑn	F	1	862;	1134;	2911;	0.440;
wan3	wǎn	wɑn	F	1	873;	1215;	2895;	0.552;
wan4	w\a`n	wɑn	F	1	843;	1174;	3148;	0.324;
wang1	wāng	wɑŋ	F	1	788;	1146;	2827;	0.353;
wang2	w\a'ng	wɑŋ	F	1	876;	1153;	3049;	0.374;
wang3	wǎng	wɑŋ	F	1	838;	1158;	3043;	0.300;
wang4	w\a`ng	wɑŋ	F	1	822;	1189;	3210;	0.517;
wei1	wēi	we‍i	F	2	439;320;	2032;1723;	2888;2950;	0.401;0.461;
wei2	w\e'i	we‍i	F	2	446;307;	2190;1903;	2887;3011;	0.296;0.451;
wei3	wěi	we‍i	F	2	414;340;	1852;1952;	3043;2860;	0.875;0.530;
wei4	w\e`i	we‍i	F	2	450;312;	1861;1740;	2889;2849;	0.672;0.722;
wen1	wēn	wu‍ən	F	2	427;525;	732;1719;	2806;2901;	0.327;0.392;
wen2	w\e'n	wu‍ən	F	2	368;495;	776;1855;	2599;2627;	0.517;0.652;
wen3	wěn	wu‍ən	F	2	389;490;	782;1618;	2612;2574;	0.537;0.757;
wen4	w\e`n	wu‍ən	F	2	430;516;	818;1820;	2565;2724;	0.276;0.381;
weng1	wēng	wu‍əŋ	F	2	384;535;	717;882;	2883;3066;	0.444;0.539;
weng3	wěng	wu‍əŋ	F	2	375;490;	735;1410;	2712;2576;	0.459;0.764;
weng4	w\e`ng	wu‍əŋ	F	2	376;565;	848;1268;	2961;2707;	0.358;0.513;
wo1	wō	wo	F	1	550;	843;	3134;	0.382;
wo3	wǒ	wo	F	1	536;	833;	3131;	0.572;
wo4	w\o`	wo	F	1	543;	847;	3091;	0.391;
wu1	wū	wu	F	1	373;	735;	2473;	0.341;
wu2	w\u'	wu	F	1	366;	742;	2477;	0.194;
wu3	wǔ	wu	F	1	381;	722;	2585;	0.927;
wu4	w\u`	wu	F	1	378;	756;	2810;	0.677;
xi1	xī	ɕi	F	1	341;	1906;	3099;	0.688;
xi2	x\i'	ɕi	F	1	348;	2229;	2892;	0.592;
xi3	xǐ	ɕi	F	1	320;	2022;	2938;	0.718;
xi4	x\i`	ɕi	F	1	350;	1902;	3045;	0.601;
xia1	xiā	ɕi‍ɑ	F	2	300;813;	1804;1546;	2774;2688;	0.878;0.733;
xia2	xi\a'	ɕi‍ɑ	F	2	601;819;	1604;1508;	2803;2531;	0.889;0.781;
xia4	xi\a`	ɕi‍ɑ	F	2	438;933;	2262;1776;	2952;2339;	0.686;0.746;
xian1	xiān	ɕi‍ɛn	F	2	430;685;	2462;1824;	3011;2502;	0.823;0.958;
xian2	xi\a'n	ɕi‍ɛn	F	2	343;610;	1827;2096;	2566;2829;	0.425;0.390;
xian3	xiǎn	ɕi‍ɛn	F	2	322;516;	1921;2340;	2899;2942;	1.068;0.784;
xian4	xi\a`n	ɕi‍ɛn	F	2	397;648;	1734;1938;	2541;2357;	0.660;0.635;
xiang1	xiāng	ɕi‍ɑŋ	F	2	558;787;	2253;1613;	3202;2995;	0.463;0.528;
xiang2	xi\a'ng	ɕi‍ɑŋ	F	2	366;754;	1391;1429;	2779;2386;	0.795;0.629;
xiang3	xiǎng	ɕi‍ɑŋ	F	2	391;821;	1698;1410;	2623;2384;	1.251;0.839;
xiang4	xi\a`ng	ɕi‍ɑŋ	F	2	630;894;	2229;1716;	2803;2397;	0.339;0.399;
xiao1	xiāo	ɕjɑ‍u	F	2	811;647;	1200;926;	3047;3155;	0.662;0.712;
xiao2	xi\a'o	ɕjɑ‍u	F	2	818;511;	1208;731;	2822;2896;	0.733;0.889;
xiao3	xiǎo	ɕjɑ‍u	F	2	855;501;	1154;802;	3035;2707;	0.919;1.064;
xiao4	xi\a`o	ɕjɑ‍u	F	2	955;601;	1302;1986;	2647;2783;	0.645;0.540;
xie1	xiē	ɕi‍ɛ	F	2	323;698;	2390;1758;	3109;2614;	0.713;0.908;
xie2	xi\e'	ɕi‍ɛ	F	2	389;658;	2480;1741;	3204;2594;	0.445;0.730;
xie3	xiě	ɕi‍ɛ	F	2	387;722;	2323;1781;	2855;2429;	0.301;0.536;
xie4	xi\e`	ɕi‍ɛ	F	2	385;655;	2254;1742;	2939;2598;	0.452;0.647;
xin1	xīn	ɕin	F	1	340;	1634;	2890;	0.527;
xin4	x\i`n	ɕin	F	1	321;	1739;	2742;	0.793;
xing1	xīng	ɕiŋ	F	1	363;	2370;	3098;	0.359;
xing2	x\i'ng	ɕiŋ	F	1	367;	1538;	2932;	0.820;
xing3	xǐng	ɕiŋ	F	1	361;	1864;	2990;	0.620;
xing4	x\i`ng	ɕiŋ	F	1	358;	1513;	2919;	0.628;
xiong1	xiōng	ɕyŋ	F	1	464;	2104;	2631;	0.405;
xiong2	xi\o'ng	ɕyŋ	F	1	422;	1789;	2633;	0.613;
xiu1	xiū	ɕi‍o‍u	F	3	506;583;530;	1834;884;739;	2689;2702;2756;	0.482;0.597;0.627;
xiu3	xiǔ	ɕi‍o‍u	F	3	390;533;426;	1974;859;798;	2616;3065;3168;	0.458;0.740;0.810;
xiu4	xi\u`	ɕi‍o‍u	F	3	425;662;662;	2129;976;976;	2673;2949;2949;	0.415;0.530;0.530;
xu1	xū	ɕy	F	1	367;	2130;	2613;	0.805;
xu2	x\u'	ɕy	F	1	329;	2170;	2641;	0.508;
xu3	xǔ	ɕy	F	1	335;	1993;	2510;	0.530;
xu4	x\u`	ɕy	F	1	377;	1753;	2612;	0.833;
xuan1	xuān	ɕy‍æn	F	2	358;660;	2214;1860;	2683;2674;	0.603;0.723;
xuan2	xu\a'n	ɕy‍æn	F	2	320;631;	1742;1926;	2685;2771;	1.247;1.122;
xuan3	xuǎn	ɕy‍æn	F	2	300;673;	1572;1814;	2800;2913;	1.393;1.215;
xuan4	xu\a`n	ɕy‍æn	F	2	424;629;	1943;2083;	2692;3172;	0.707;0.687;
xue1	xuē	ɕy‍ɛ	F	2	402;655;	2177;1741;	2623;2801;	0.757;0.857;
xue2	xu\e'	ɕy‍ɛ	F	2	439;707;	2112;1737;	2638;2648;	0.541;0.696;
xue3	xuě	ɕy‍ɛ	F	2	399;761;	2369;1862;	2842;2553;	0.509;0.649;
xue4	xu\e`	ɕy‍ɛ	F	2	542;659;	2265;2164;	2686;2797;	0.385;0.435;
xun1	xūn	ɕy‍ən	F	2	335;395;	1607;1620;	2724;2481;	0.845;0.770;
xun2	x\u'n	ɕy‍ən	F	2	378;479;	1826;1447;	2682;2686;	0.769;0.884;
xun4	x\u`n	ɕy‍ən	F	2	379;521;	2168;2319;	3060;2766;	0.769;0.664;
ya1	yā	ji‍ɑ	F	2	325;832;	2409;1449;	2996;2552;	0.256;0.451;
ya2	y\a'	ji‍ɑ	F	2	686;827;	1491;1317;	2461;2289;	0.534;0.514;
ya3	yǎ	ji‍ɑ	F	2	353;1042;	2374;1464;	3074;2789;	0.217;0.582;
ya4	y\a`	ji‍ɑ	F	2	348;1061;	1942;1647;	2807;2450;	0.261;0.391;
yan1	yān	ji‍ɛn	F	2	306;629;	1900;1820;	2525;2546;	0.382;0.362;
yan2	y\a'n	ji‍ɛn	F	2	343;649;	1773;1877;	2475;2671;	0.521;0.431;
yan3	yǎn	ji‍ɛn	F	2	342;679;	2098;1925;	2976;2509;	0.929;0.859;
yan4	y\a`n	ji‍ɛn	F	2	292;627;	1943;1830;	2700;2431;	0.470;0.420;
yang1	yāng	ji‍ɑŋ	F	2	355;758;	2370;1464;	2937;2363;	0.310;0.450;
yang2	y\a'ng	ji‍ɑŋ	F	2	331;756;	2363;1525;	2892;2558;	0.163;0.348;
yang3	yǎng	ji‍ɑŋ	F	2	334;819;	2408;1350;	3324;2376;	0.141;0.486;
yang4	y\a`ng	ji‍ɑŋ	F	2	402;1007;	2445;1665;	3074;2724;	0.534;0.639;
yao1	yāo	jɑ‍u	F	2	834;468;	1202;936;	2854;2668;	0.337;0.427;
yao2	y\a'o	jɑ‍u	F	2	823;530;	1202;898;	3060;2727;	0.467;0.572;
yao3	yǎo	jɑ‍u	F	2	1010;563;	1493;1859;	2800;2470;	0.755;0.655;
yao4	y\a`o	jɑ‍u	F	2	884;884;	1262;1262;	2581;2581;	0.409;0.409;
ye1	yē	ji‍ɛ	F	2	350;608;	1738;1841;	2960;2704;	0.501;0.426;
ye2	y\e'	ji‍ɛ	F	2	327;689;	2174;1866;	3101;2581;	0.309;0.574;
ye3	yě	ji‍ɛ	F	2	316;632;	2366;2010;	2932;2490;	0.190;0.350;
ye4	y\e`	ji‍ɛ	F	2	357;724;	2417;1898;	3030;2568;	0.125;0.320;
yi1	yī	ji	F	1	319;	2131;	2931;	0.323;
yi2	y\i'	ji	F	1	339;	1965;	3046;	0.644;
yi3	yǐ	ji	F	1	310;	1887;	2957;	0.453;
yi4	y\i`	ji	F	1	303;	1769;	3008;	0.507;
yin1	yīn	jin	F	1	384;	1665;	2794;	0.500;
yin2	y\i'n	jin	F	1	339;	1829;	2744;	0.412;
yin3	yǐn	jin	F	1	355;	2120;	2907;	0.269;
yin4	y\i`n	jin	F	1	350;	1887;	2863;	0.440;
ying1	yīng	jiŋ	F	1	347;	2570;	3316;	0.301;
ying2	y\i'ng	jiŋ	F	1	331;	2402;	3075;	0.167;
ying3	yǐng	jiŋ	F	1	268;	1661;	2681;	0.680;
ying4	y\i`ng	jiŋ	F	1	408;	1754;	3181;	0.378;
yong1	yōng	y‍uŋ	F	2	362;669;	2240;912;	2709;2897;	0.512;0.597;
yong2	y\o'ng	y‍uŋ	F	2	359;493;	1468;1141;	2901;2747;	0.708;0.643;
yong3	yǒng	y‍uŋ	F	2	300;602;	1668;864;	2748;2667;	0.733;0.337;
yong4	y\o`ng	y‍uŋ	F	2	383;673;	2256;832;	2735;2927;	0.535;0.630;
you1	yōu	ji‍o‍u	F	3	346;542;503;	2474;851;770;	2817;3088;2816;	0.240;0.400;0.450;
you2	y\o'u	ji‍o‍u	F	3	320;530;407;	2454;896;725;	2810;2882;2560;	0.155;0.300;0.430;
you3	yǒu	ji‍o‍u	F	3	405;560;403;	1984;857;751;	2738;3039;3073;	0.251;0.511;0.616;
you4	y\o`u	ji‍o‍u	F	3	334;656;656;	2605;942;942;	3067;3104;3104;	0.330;0.490;0.490;
yu1	yū	ʲy	F	1	337;	1863;	2636;	0.713;
yu2	y\u'	ʲy	F	1	333;	2110;	2758;	0.466;
yu3	yǔ	ʲy	F	1	313;	1765;	2523;	0.269;
yu4	y\u`	ʲy	F	1	337;	2079;	2603;	0.656;
yuan1	yuān	y‍æn	F	2	325;628;	1746;1953;	2611;2570;	0.332;0.287;
yuan2	yu\a'n	y‍æn	F	2	309;673;	1666;2087;	2637;2773;	0.451;0.391;
yuan3	yuǎn	y‍æn	F	2	353;650;	1742;1891;	2722;2400;	0.676;0.606;
yuan4	yu\a`n	y‍æn	F	2	323;662;	2231;1873;	2558;2428;	0.408;0.583;
yue1	yuē	y‍ɛ	F	2	327;697;	2146;1800;	2698;2627;	0.269;0.429;
yue4	yu\e`	y‍ɛ	F	2	330;737;	2057;1783;	2474;2472;	0.235;0.460;
yun1	yūn	ʲy‍ən	F	2	322;483;	1712;2461;	2689;2794;	0.477;0.317;
yun2	y\u'n	ʲy‍ən	F	2	312;423;	1677;1599;	2652;2711;	0.467;0.552;
yun3	yǔn	ʲy‍ən	F	2	327;479;	1733;1630;	2769;2718;	0.392;0.497;
yun4	y\u`n	ʲy‍ən	F	2	352;388;	1579;1683;	2694;2647;	0.390;0.365;
za2	z\a'	t‍sɑ	F	1	823;	1257;	2498;	0.331;
zai1	zāi	t‍sa‍i	F	2	871;314;	1460;1659;	2506;2918;	0.241;0.396;
zai3	zǎi	t‍sa‍i	F	2	937;605;	1460;1641;	2270;2698;	0.526;0.471;
zai4	z\a`i	t‍sa‍i	F	2	870;645;	1502;1469;	2340;2626;	0.228;0.198;
zan1	zān	t‍san	F	1	841;	1437;	2393;	0.289;
zan2	z\a'n	t‍san	F	1	895;	1522;	2342;	0.345;
zan4	z\a`n	t‍san	F	1	837;	1503;	2320;	0.343;
zang1	zāng	t‍saŋ	F	1	875;	1459;	2752;	0.361;
zang4	z\a`ng	t‍saŋ	F	1	838;	1567;	2866;	0.276;
zao1	zāo	t‍sɑ‍u	F	2	827;531;	1186;927;	2818;2561;	0.361;0.441;
zao2	z\a'o	t‍sɑ‍u	F	2	823;489;	1213;886;	2823;2471;	0.488;0.583;
zao3	zǎo	t‍sɑ‍u	F	2	842;468;	1171;870;	2983;2804;	0.565;0.680;
zao4	z\a`o	t‍sɑ‍u	F	2	859;752;	1144;1056;	2661;2532;	0.665;0.700;
ze2	z\e'	t‍so-	F	1	587;	1235;	2319;	0.816;
ze4	z\e`	t‍so-	F	1	670;	1446;	2881;	0.489;
zei2	z\e'i	t‍se‍i	F	2	433;298;	1929;1951;	2580;3074;	0.256;0.496;
zen3	zěn	t‍sən	F	1	482;	1675;	2294;	0.606;
zeng1	zēng	t‍səŋ	F	1	500;	1695;	2755;	0.573;
zeng4	z\e`ng	t‍səŋ	F	1	594;	1699;	2865;	0.274;
zha1	zhā	t‍s.ɑ	F	1	824;	1253;	2551;	0.410;
zha2	zh\a'	t‍s.ɑ	F	1	856;	1203;	2593;	0.345;
zha3	zhǎ	t‍s.ɑ	F	1	817;	1223;	2577;	0.634;
zha4	zh\a`	t‍s.ɑ	F	1	867;	1316;	2557;	0.464;
zhai1	zhāi	t‍s.a‍i	F	2	893;382;	1509;1715;	2612;2772;	0.471;0.641;
zhai2	zh\a'i	t‍s.a‍i	F	2	890;487;	1491;1877;	2487;3100;	0.369;0.309;
zhai3	zhǎi	t‍s.a‍i	F	2	873;365;	1483;2099;	2396;2953;	0.560;0.938;
zhai4	zh\a`i	t‍s.a‍i	F	2	893;674;	1530;1717;	2466;2781;	0.284;0.249;
zhan1	zhān	t‍s.an	F	1	859;	1598;	2503;	0.417;
zhan3	zhǎn	t‍s.an	F	1	911;	1584;	2576;	0.325;
zhan4	zh\a`n	t‍s.an	F	1	907;	1605;	2768;	0.366;
zhang1	zhāng	t‍s.aŋ	F	1	889;	1485;	2536;	0.324;
zhang3	zhǎng	t‍s.aŋ	F	1	883;	1466;	2363;	0.273;
zhang4	zh\a`ng	t‍s.aŋ	F	1	888;	1324;	2583;	0.570;
zhao1	zhāo	t‍s.ɑ‍u	F	2	824;576;	1170;940;	2853;2619;	0.469;0.544;
zhao2	zh\a'o	t‍s.ɑ‍u	F	2	820;500;	1173;854;	2820;2636;	0.525;0.615;
zhao3	zhǎo	t‍s.ɑ‍u	F	2	726;461;	1073;785;	2805;2604;	0.622;0.727;
zhao4	zh\a`o	t‍s.ɑ‍u	F	2	807;620;	1174;1129;	2864;2785;	0.448;0.508;
zhe1	zhē	t‍s.o-	F	1	563;	1299;	2796;	0.495;
zhe2	zh\e'	t‍s.o-	F	1	567;	1275;	2473;	0.694;
zhe3	zhě	t‍s.o-	F	1	506;	1370;	2798;	0.572;
zhe4	zh\e`	t‍s.o-	F	1	657;	1436;	2793;	0.578;
zhen1	zhēn	t‍s.ən	F	1	540;	1593;	2414;	0.471;
zhen3	zhěn	t‍s.ən	F	1	482;	1600;	2268;	0.575;
zhen4	zh\e`n	t‍s.ən	F	1	463;	1764;	2669;	0.525;
zheng1	zhēng	t‍s.əŋ	F	1	542;	1948;	3000;	0.491;
zheng3	zhěng	t‍s.əŋ	F	1	523;	1918;	2831;	0.364;
zheng4	zh\e`ng	t‍s.əŋ	F	1	615;	1887;	3012;	0.227;
zhi1	zhī	t‍s.i.	F	1	422;	1994;	2761;	0.668;
zhi2	zh\i'	t‍s.i.	F	1	424;	1935;	2988;	0.627;
zhi3	zhǐ	t‍s.i.	F	1	435;	2049;	3108;	0.818;
zhi4	zh\i`	t‍s.i.	F	1	565;	1827;	2778;	0.657;
zhong1	zhōng	t‍s.o‍n‍ɡ	F	1	670;	926;	2865;	0.439;
zhong3	zhǒng	t‍s.o‍n‍ɡ	F	1	520;	865;	2554;	0.594;
zhong4	zh\o`ng	t‍s.o‍n‍ɡ	F	1	711;	1097;	2790;	0.552;
zhou1	zhōu	t‍s.o‍u	F	2	526;465;	908;810;	3030;2866;	0.343;0.378;
zhou2	zh\o'u	t‍s.o‍u	F	2	533;471;	877;869;	3020;3004;	0.601;0.616;
zhou3	zhǒu	t‍s.o‍u	F	2	500;381;	838;868;	2436;2488;	0.641;0.671;
zhou4	zh\o`u	t‍s.o‍u	F	2	580;580;	951;951;	2810;2810;	0.607;0.607;
zhu1	zhū	t‍s.u	F	1	400;	881;	2739;	0.513;
zhu2	zh\u'	t‍s.u	F	1	418;	828;	2785;	0.631;
zhu3	zhǔ	t‍s.u	F	1	379;	734;	3031;	0.722;
zhu4	zh\u`	t‍s.u	F	1	413;	1075;	2902;	0.509;
zhua1	zhuā	t‍s.wɑ	F	1	812;	1196;	2855;	0.455;
zhua3	zhuǎ	t‍s.wɑ	F	1	817;	1157;	2794;	0.446;
zhuan1	zhuān	t‍s.u‍an	F	2	448;859;	1542;1383;	2400;2723;	0.471;0.396;
zhuan3	zhuǎn	t‍s.u‍an	F	2	305;934;	1282;1365;	2663;2774;	0.782;0.576;
zhuan4	zhu\a`n	t‍s.u‍an	F	2	633;850;	1461;1470;	2336;2758;	0.399;0.299;
zhuang1	zhuāng	t‍s.wɑŋ	F	1	815;	1216;	2338;	0.387;
zhuang4	zhu\a`ng	t‍s.wɑŋ	F	1	818;	1221;	2651;	0.679;
zhui1	zhuī	t‍s.u‍e‍i	F	3	306;439;307;	1722;2096;1824;	2980;2928;3011;	0.616;0.541;0.626;
zhui4	zhu\i`	t‍s.u‍e‍i	F	3	395;417;393;	1868;1984;1881;	2827;2827;2884;	0.362;0.347;0.367;
zhun1	zhūn	t‍s.u‍ən	F	2	312;483;	1603;1751;	2862;2699;	0.576;0.546;
zhun3	zhǔn	t‍s.u‍ən	F	2	311;503;	1317;1708;	2601;2405;	0.815;0.680;
zhuo1	zhuō	t‍s.u‍o	F	2	542;549;	962;952;	3058;3089;	0.471;0.476;
zhuo2	zhu\o'	t‍s.u‍o	F	2	443;525;	1008;938;	2893;2869;	0.454;0.494;
zi1	zī	t‍si̪	F	1	424;	1839;	2393;	0.640;
zi3	zǐ	t‍si̪	F	1	425;	1932;	2657;	0.583;
zi4	z\i`	t‍si̪	F	1	437;	1902;	3271;	0.477;
zong1	zōng	t‍so‍n‍ɡ	F	1	513;	1055;	2862;	0.480;
zong3	zǒng	t‍so‍n‍ɡ	F	1	567;	1042;	2815;	0.489;
zong4	z\o`ng	t‍so‍n‍ɡ	F	1	693;	1171;	2743;	0.327;
zou3	zǒu	t‍so‍u	F	2	534;444;	890;749;	3038;2695;	0.784;0.859;
zou4	z\o`u	t‍so‍u	F	2	535;506;	944;970;	2665;2843;	0.628;0.653;
zu1	zū	t‍su	F	1	452;	884;	2840;	0.364;
zu2	z\u'	t‍su	F	1	392;	827;	2563;	0.688;
zu4	z\u`	t‍su	F	1	421;	984;	2842;	0.668;
zuan1	zuān	t‍su‍an	F	2	413;773;	1373;1424;	2341;2431;	0.790;0.740;
zuan4	zu\a`n	t‍su‍an	F	2	667;845;	1278;1556;	2911;2187;	0.486;0.576;
zui3	zuǐ	t‍su‍e‍i	F	3	538;428;301;	1412;1593;2050;	2728;2712;2852;	0.481;0.446;0.796;
zui4	zu\i`	t‍su‍e‍i	F	3	577;426;341;	1690;2080;2053;	2840;2860;2878;	0.360;0.515;0.540;
zun1	zūn	t‍su‍ən	F	2	339;528;	1506;1636;	2825;2754;	0.542;0.527;
zun3	zǔn	t‍su‍ən	F	2	445;507;	1276;1620;	2608;2243;	0.440;0.550;
zuo1	zuō	t‍su‍o	F	2	523;538;	942;925;	2988;3014;	0.680;0.690;
zuo2	zu\o'	t‍su‍o	F	2	455;524;	921;919;	2865;2967;	0.602;0.632;
zuo3	zuǒ	t‍su‍o	F	2	483;520;	813;808;	2937;2968;	0.444;0.464;
zuo4	zu\o`	t‍su‍o	F	2	569;569;	919;919;	3079;3079;	0.359;0.359;
