Pinyin	IPA	Gender	Nt	F1	F2	F3	t
ju3	 t‍ɕˈy	F	1	360;	2159;	2841;	0.696;
ju4	 t‍ɕˈy	F	1	321;	1720;	2806;	0.738;
juan1	 t‍ɕˈy‍æn	F	2	340;613;	1680;1825;	2720;2966;	0.323;0.253;
juan3	 t‍ɕˈy‍æn	F	2	341;635;	1591;1783;	2686;2910;	0.656;0.251;
juan4	 t‍ɕˈy‍æn	F	2	406;672;	2319;1799;	2866;2855;	0.370;0.455;
jue1	 t‍ɕˈy‍ɛ	F	2	429;683;	2211;1966;	2636;2688;	0.180;0.330;
jue2	 t‍ɕˈy‍ɛ	F	2	433;667;	1983;1724;	2639;2669;	0.457;0.537;
jue4	 t‍ɕˈy‍ɛ	F	2	613;690;	2354;1725;	2820;2673;	0.278;0.508;
jun1	 t‍ɕˈy‍ən	F	2	316;446;	1759;2416;	2628;2978;	0.401;0.321;
jun3	 t‍ɕˈy‍ən	F	2	313;518;	1603;1655;	2682;2741;	0.616;0.651;
jun4	 t‍ɕˈy‍ən	F	2	388;446;	1639;1530;	2708;2747;	0.373;0.408;
ka1	 k‍hˈɑ	F	1	810;	1235;	2654;	0.264;
ka3	 k‍hˈɑ	F	1	824;	1247;	1981;	0.712;
ka4	 k‍hˈɑ	F	1	905;	1473;	2470;	0.163;
kai1	 k‍hˈa‍i	F	2	868;319;	1467;1700;	2594;2882;	0.214;0.416;
kai3	 k‍hˈa‍i	F	2	855;309;	1509;1798;	2532;2987;	0.285;0.560;
kai4	 k‍hˈa‍i	F	2	843;757;	1462;1569;	2731;2903;	0.240;0.230;
kan3	 k‍hˈan	F	1	438;	1477;	2619;	0.564;
kan4	 k‍hˈan	F	1	878;	1605;	2501;	0.372;
kang1	 k‍hˈɑŋ	F	1	806;	1415;	2914;	0.166;
kang2	 k‍hˈɑŋ	F	1	476;	1238;	2789;	0.507;
kang4	 k‍hˈɑŋ	F	1	516;	1721;	3070;	0.152;
kao1	 k‍hˈɑ‍u	F	2	811;447;	1206;880;	2842;2583;	0.601;0.786;
kao3	 k‍hˈɑ‍u	F	2	825;452;	1204;862;	3037;3046;	0.418;0.533;
kao4	 k‍hˈɑ‍u	F	2	834;596;	1152;945;	2845;2902;	0.273;0.353;
ke1	 k‍hˈo-	F	1	517;	1506;	2800;	0.423;
ke2	 k‍hˈo-	F	1	598;	1266;	2824;	0.464;
ke3	 k‍hˈo-	F	1	652;	1364;	3115;	0.582;
ke4	 k‍hˈo-	F	1	615;	1429;	2790;	0.645;
ken3	 k‍hˈən	F	1	504;	1771;	2962;	0.322;
ken4	 k‍hˈən	F	1	477;	1770;	2726;	0.311;
keng3	 k‍hˈəŋ	F	1	494;	1681;	2938;	0.246;
kong1	 k‍hˈo‍n‍ɡ	F	1	536;	953;	2755;	0.288;
kong3	 k‍hˈo‍n‍ɡ	F	1	635;	970;	2959;	0.332;
kong4	 k‍hˈo‍n‍ɡ	F	1	592;	988;	2685;	0.268;
kou1	 k‍hˈo‍u	F	2	529;482;	884;850;	3082;2843;	0.291;0.321;
kou3	 k‍hˈo‍u	F	2	526;471;	941;913;	2843;2979;	0.295;0.355;
kou4	 k‍hˈo‍u	F	2	523;431;	910;798;	3105;2915;	0.428;0.473;
ku1	 k‍hˈu	F	1	393;	943;	2571;	0.448;
ku3	 k‍hˈu	F	1	394;	744;	2987;	0.483;
ku4	 k‍hˈu	F	1	418;	782;	2893;	0.431;
kua1	 k‍hwˈɑ	F	1	819;	1239;	2744;	0.296;
kua3	 k‍hwˈɑ	F	1	849;	1154;	3081;	0.651;
kua4	 k‍hwˈɑ	F	1	813;	1195;	2861;	0.787;
kuai1	 k‍hˈu‍a‍i	F	3	496;907;471;	1099;1455;2215;	3120;2876;2644;	0.625;0.760;0.850;
kuai3	 k‍hˈu‍a‍i	F	3	601;846;316;	1055;1429;2201;	2878;2631;3123;	0.310;0.183;0.756;
kuai4	 k‍hˈu‍a‍i	F	3	695;904;695;	1101;1309;1101;	2825;2758;2825;	0.092;0.157;0.092;
kuan1	 k‍hwˈan	F	1	865;	1437;	2222;	0.288;
kuan3	 k‍hwˈan	F	1	924;	1327;	2957;	0.550;
kuang1	 k‍hwˈaŋ	F	1	839;	1421;	2866;	0.191;
kuang2	 k‍hwˈaŋ	F	1	852;	1327;	2933;	0.495;
kuang3	 k‍hwˈaŋ	F	1	875;	1254;	2726;	0.331;
kuang4	 k‍hwˈaŋ	F	1	831;	1648;	2755;	0.705;
kui1	 k‍hˈu‍e‍i	F	3	485;424;322;	991;1832;1875;	2779;3013;2914;	0.265;0.430;0.480;
kui2	 k‍hˈu‍e‍i	F	3	490;440;319;	1088;2211;2175;	2648;2778;3000;	0.222;0.362;0.482;
kui3	 k‍hˈu‍e‍i	F	3	536;379;302;	974;2105;1874;	2764;3066;3015;	0.302;0.675;0.785;
kui4	 k‍hˈu‍e‍i	F	3	603;501;447;	1436;2074;2255;	2645;2803;2844;	0.252;0.412;0.472;
kun1	 k‍hwˈu‍ən	F	2	393;487;	1188;1580;	2770;2750;	0.247;0.342;
kun3	 k‍hwˈu‍ən	F	2	324;503;	1304;1747;	2723;3010;	0.674;0.464;
kun4	 k‍hwˈu‍ən	F	2	445;507;	1276;1628;	2690;2913;	0.285;0.395;
kuo3	 k‍hˈu‍o	F	2	469;533;	823;843;	3071;3124;	0.334;0.389;
kuo4	 k‍hˈu‍o	F	2	463;529;	904;877;	2865;2864;	0.255;0.265;
la1	 lˈɑ	F	1	774;	1464;	2395;	0.345;
la2	 lˈɑ	F	1	818;	1382;	2168;	0.439;
la3	 lˈɑ	F	1	759;	1446;	2393;	0.207;
la4	 lˈɑ	F	1	799;	1390;	2002;	0.669;
lai2	 lˈa‍i	F	2	876;373;	1460;1871;	2488;2984;	0.422;0.732;
lai4	 lˈa‍i	F	2	830;523;	1434;1467;	2473;2648;	0.474;0.459;
lan2	 lˈan	F	1	886;	1677;	2380;	0.421;
lan3	 lˈan	F	1	846;	1614;	2711;	0.462;
lan4	 lˈan	F	1	822;	1672;	2921;	0.207;
lang1	 lˈaŋ	F	1	856;	1474;	2572;	0.279;
lang2	 lˈaŋ	F	1	847;	1441;	2596;	0.383;
lang3	 lˈaŋ	F	1	862;	1390;	1938;	0.761;
lang4	 lˈaŋ	F	1	856;	1466;	2459;	0.468;
lao1	 lˈɑ‍u	F	2	876;459;	1146;872;	2936;2503;	0.428;0.558;
lao2	 lˈɑ‍u	F	2	836;396;	1151;694;	3068;2506;	0.420;0.555;
lao3	 lˈɑ‍u	F	2	839;464;	1197;813;	2756;2973;	0.402;0.651;
lao4	 lˈɑ‍u	F	2	837;521;	1180;922;	2824;2663;	0.527;0.617;
le	 lˈə	F	1	492;	1759;	3096;	0.372;
le0	 lˈə	F	1	492;	1759;	3096;	0.372;
le4	 lˈə	F	1	489;	1582;	2776;	0.189;
lei1	 lˈe‍i	F	2	431;311;	1819;1684;	3079;2804;	0.259;0.169;
lei2	 lˈe‍i	F	2	431;320;	1819;1731;	2808;3003;	0.479;0.781;
lei3	 lˈe‍i	F	2	428;339;	1918;1932;	2803;2973;	0.574;0.642;
lei4	 lˈe‍i	F	2	448;330;	1750;1771;	3174;2812;	0.200;0.115;
leng2	 lˈəŋ	F	1	535;	1662;	3054;	0.476;
leng3	 lˈəŋ	F	1	548;	1647;	2828;	0.663;
leng4	 lˈəŋ	F	1	499;	1505;	3109;	0.167;
li1	 lˈi	F	1	308;	1816;	3045;	0.763;
li2	 lˈi	F	1	320;	1879;	3223;	0.809;
li3	 lˈi	F	1	327;	1822;	2852;	0.513;
li4	 lˈi	F	1	313;	1848;	3041;	0.874;
lia3	 lˈi‍ɑ	F	2	354;941;	1813;1600;	2916;2219;	0.160;0.578;
lian2	 lˈi‍ɛn	F	2	306;639;	1867;2021;	2688;2573;	0.223;0.573;
lian3	 lˈi‍ɛn	F	2	297;687;	1840;1853;	2996;2639;	0.464;0.766;
lian4	 lˈi‍ɛn	F	2	445;648;	2081;2035;	2731;2721;	0.380;0.590;
liang2	 lˈi‍ɑŋ	F	2	353;778;	1649;1528;	2665;2476;	0.260;0.560;
liang3	 lˈi‍ɑŋ	F	2	351;829;	1842;1502;	2862;2428;	0.506;0.816;
liang4	 lˈi‍ɑŋ	F	2	292;761;	1639;1429;	2756;2520;	0.496;0.771;
liao1	 ljˈɑ‍u	F	2	825;401;	1177;780;	2912;2647;	0.575;0.700;
liao2	 ljˈɑ‍u	F	2	848;429;	1193;772;	2979;2525;	0.670;0.790;
liao3	 ljˈɑ‍u	F	2	824;457;	1190;842;	2827;2586;	0.679;0.814;
liao4	 ljˈɑ‍u	F	2	816;616;	1170;889;	2473;2604;	0.627;0.692;
lie1	 lˈi‍ɛ	F	2	335;639;	2089;1924;	2935;2588;	0.284;0.634;
lie4	 lˈi‍ɛ	F	2	375;671;	1914;1715;	2959;2564;	0.600;0.975;
lin2	 lˈin	F	1	313;	1646;	2380;	0.688;
lin3	 lˈin	F	1	305;	1776;	2924;	0.856;
lin4	 lˈin	F	1	303;	1913;	2693;	0.173;
ling1	 lˈiŋ	F	1	331;	1741;	2732;	0.140;
ling2	 lˈiŋ	F	1	306;	1715;	2897;	0.406;
ling3	 lˈiŋ	F	1	331;	1905;	3086;	0.527;
ling4	 lˈiŋ	F	1	306;	1706;	2653;	0.577;
liu1	 lˈi‍o‍u	F	3	285;525;461;	1652;906;778;	2639;2639;2606;	0.119;0.404;0.499;
liu2	 lˈi‍o‍u	F	3	435;517;450;	2132;894;757;	2597;2822;2447;	0.102;0.312;0.417;
liu3	 lˈi‍o‍u	F	3	346;517;405;	1816;955;776;	2640;2734;2628;	0.299;0.649;0.719;
liu4	 lˈi‍o‍u	F	3	336;517;419;	1770;829;913;	2843;3075;2620;	0.365;0.690;0.740;
lo1	 lˈo	F	1	553;	933;	3133;	0.470;
long2	 lˈo‍n‍ɡ	F	1	555;	855;	3310;	0.561;
long3	 lˈo‍n‍ɡ	F	1	567;	924;	2556;	1.030;
long4	 lˈo‍n‍ɡ	F	1	611;	1012;	2731;	0.656;
lou1	 lˈo‍u	F	2	518;436;	940;763;	3202;2533;	0.738;0.863;
lou2	 lˈo‍u	F	2	546;390;	863;862;	3010;2234;	0.540;0.740;
lou3	 lˈo‍u	F	2	561;400;	859;771;	3149;2920;	0.675;0.915;
lou4	 lˈo‍u	F	2	532;420;	865;759;	3169;2832;	0.532;0.592;
lu1	 lˈu	F	1	380;	792;	2717;	0.385;
lu2	 lˈu	F	1	420;	760;	2561;	0.504;
lu3	 lˈu	F	1	383;	756;	2492;	0.692;
lu4	 lˈu	F	1	410;	731;	2540;	0.715;
luan2	 lˈu‍an	F	2	478;864;	1011;1444;	2815;2651;	0.298;0.438;
luan3	 lˈu‍an	F	2	504;849;	966;1214;	2775;2873;	0.383;0.503;
luan4	 lˈu‍an	F	2	537;856;	1170;1379;	2848;2090;	0.126;0.246;
lue4	 lˈy‍ɛ	F	2	378;605;	2016;1725;	2866;2802;	0.247;0.437;
lun1	 lˈu‍ən	F	2	412;485;	1179;1608;	2827;2882;	0.300;0.385;
lun2	 lˈu‍ən	F	2	395;467;	1013;1492;	2702;2575;	0.485;0.590;
lun3	 lˈu‍ən	F	2	415;591;	1042;1415;	2919;3094;	0.565;0.670;
lun4	 lˈu‍ən	F	2	538;484;	1210;1612;	3001;2883;	0.226;0.306;
luo1	 lˈu‍o	F	2	461;531;	877;858;	2771;2984;	0.265;0.340;
luo2	 lˈu‍o	F	2	398;521;	797;858;	2899;2851;	0.364;0.444;
luo3	 lˈu‍o	F	2	411;535;	790;879;	2591;2666;	0.337;0.397;
luo4	 lˈu‍o	F	2	471;518;	944;976;	3055;3108;	0.189;0.234;
luu2	 luˈu	F	2	349;349;	1627;1627;	2585;2585;	0.618;0.618;
luu3	 luˈu	F	2	356;356;	1755;1755;	2428;2428;	0.774;0.774;
luu4	 luˈu	F	2	371;371;	1782;1782;	2582;2582;	0.385;0.385;
ma1	 mˈɑ	F	1	728;	1417;	2942;	0.249;
ma2	 mˈɑ	F	1	777;	1444;	2007;	0.423;
ma3	 mˈɑ	F	1	819;	1412;	1940;	0.278;
ma4	 mˈɑ	F	1	777;	1395;	2870;	0.251;
mai2	 mˈa‍i	F	2	852;375;	1441;1516;	2288;2824;	0.238;0.508;
mai3	 mˈa‍i	F	2	868;274;	1421;1554;	2411;2917;	0.161;0.668;
mai4	 mˈa‍i	F	2	852;293;	1524;1799;	2396;2713;	0.409;0.579;
man2	 mˈan	F	1	845;	1539;	2065;	0.577;
man3	 mˈan	F	1	819;	1497;	2241;	0.304;
man4	 mˈan	F	1	801;	1594;	2043;	0.262;
mang2	 mˈaŋ	F	1	837;	1476;	2585;	0.329;
mang3	 mˈaŋ	F	1	849;	1410;	2847;	0.675;
mao1	 mˈɑ‍u	F	2	799;475;	1219;973;	2885;2463;	0.148;0.358;
mao2	 mˈɑ‍u	F	2	821;635;	1200;810;	2964;2685;	0.357;0.452;
mao3	 mˈɑ‍u	F	2	819;444;	1205;1321;	2681;2738;	0.468;0.677;
mao4	 mˈɑ‍u	F	2	826;645;	1217;855;	2961;2484;	0.411;0.496;
me	 mˈo-	F	1	549;	1298;	2983;	0.318;
me0	 mˈo-	F	1	549;	1298;	2983;	0.318;
mei2	 mˈe‍i	F	2	379;371;	1894;1771;	3011;3021;	0.428;0.433;
mei3	 mˈe‍i	F	2	423;310;	1889;1714;	2899;2869;	0.733;0.159;
mei4	 mˈe‍i	F	2	476;293;	1855;1703;	2751;2869;	0.443;0.698;
men1	 mˈən	F	1	540;	1617;	2383;	0.366;
men2	 mˈən	F	1	494;	1782;	2694;	0.293;
men3	 mˈən	F	1	473;	1482;	2943;	0.188;
men4	 mˈən	F	1	494;	1671;	2647;	0.460;
meng2	 mˈəŋ	F	1	492;	1567;	3132;	0.564;
meng3	 mˈəŋ	F	1	514;	1537;	2946;	1.083;
meng4	 mˈəŋ	F	1	492;	1354;	3082;	0.285;
mi1	 mˈi	F	1	304;	1682;	2682;	0.351;
mi2	 mˈi	F	1	299;	1641;	2595;	0.323;
mi3	 mˈi	F	1	335;	1688;	3041;	0.580;
mi4	 mˈi	F	1	303;	1626;	2963;	0.555;
mian2	 mˈi‍ɛn	F	2	299;605;	1615;2012;	2670;2501;	0.200;0.525;
mian3	 mˈi‍ɛn	F	2	308;527;	1676;2214;	2784;2868;	0.497;0.647;
mian4	 mˈi‍ɛn	F	2	326;653;	1660;2009;	2595;2481;	0.507;0.737;
miao1	 mjˈɑ‍u	F	2	738;522;	1233;939;	2560;2556;	0.737;0.812;
miao2	 mjˈɑ‍u	F	2	830;595;	1200;960;	2533;2456;	0.468;0.508;
miao3	 mjˈɑ‍u	F	2	524;452;	1115;1129;	2664;2678;	0.702;0.707;
miao4	 mjˈɑ‍u	F	2	807;325;	1395;1448;	2253;2665;	0.374;0.194;
mie1	 mˈi‍ɛ	F	2	331;632;	1697;1801;	2681;2870;	0.228;0.428;
mie4	 mˈi‍ɛ	F	2	335;663;	1680;1997;	2585;2719;	0.172;0.452;
min2	 mˈin	F	1	325;	1571;	2791;	0.524;
min3	 mˈin	F	1	326;	1683;	2673;	0.296;
ming2	 mˈiŋ	F	1	323;	1837;	2767;	0.250;
ming3	 mˈiŋ	F	1	343;	1688;	2684;	0.336;
ming4	 mˈiŋ	F	1	313;	1718;	2741;	0.450;
miu1	 mˈi‍o‍u	F	3	319;516;425;	1877;957;974;	2659;2572;2568;	0.309;0.514;0.569;
miu4	 mˈi‍o‍u	F	3	732;672;672;	1753;909;909;	3090;2719;2719;	0.314;0.459;0.459;
mo1	 mˈo	F	1	576;	937;	2834;	0.375;
mo2	 mˈo	F	1	548;	910;	2509;	0.629;
mo3	 mˈo	F	1	555;	849;	3103;	0.352;
mo4	 mˈo	F	1	653;	912;	3160;	0.524;
mou2	 mˈo‍u	F	2	617;617;	855;855;	3468;3468;	0.521;0.521;
mou3	 mˈo‍u	F	2	459;418;	1001;1040;	2704;2656;	0.642;0.617;
mu2	 mˈu	F	1	402;	785;	2746;	0.425;
mu3	 mˈu	F	1	395;	846;	2678;	0.291;
mu4	 mˈu	F	1	492;	756;	2721;	0.580;
na2	 nˈɑ	F	1	797;	1478;	2509;	0.305;
na3	 nˈɑ	F	1	821;	1423;	2831;	0.815;
na4	 nˈɑ	F	1	947;	1505;	2895;	0.177;
nai3	 nˈa‍i	F	2	840;326;	1550;1774;	2095;2781;	0.482;0.282;
nai4	 nˈa‍i	F	2	951;315;	1618;1658;	2287;2760;	0.287;0.162;
nan1	 nˈan	F	1	854;	1572;	2250;	0.659;
nan2	 nˈan	F	1	775;	1572;	2247;	0.396;
nan3	 nˈan	F	1	832;	1614;	2162;	0.563;
nan4	 nˈan	F	1	924;	1579;	2358;	0.391;
nang1	 nˈaŋ	F	1	847;	1516;	2397;	0.387;
nang2	 nˈaŋ	F	1	856;	1514;	2334;	0.276;
nang3	 nˈaŋ	F	1	856;	1526;	2539;	0.378;
nang4	 nˈaŋ	F	1	855;	1448;	2155;	0.470;
nao1	 nˈɑ‍u	F	2	807;605;	1184;760;	2699;2642;	0.422;0.502;
nao2	 nˈɑ‍u	F	2	835;438;	1177;941;	3107;2594;	0.386;0.491;
nao3	 nˈɑ‍u	F	2	840;490;	1174;1137;	2381;2771;	0.655;0.835;
nao4	 nˈɑ‍u	F	2	827;640;	1228;945;	2817;2426;	0.347;0.412;
ne	 nˈə	F	1	503;	1761;	2713;	0.223;
ne0	 nˈə	F	1	503;	1761;	2713;	0.223;
nei3	 nˈe‍i	F	2	419;343;	1916;1832;	2759;2792;	0.249;0.239;
nei4	 nˈe‍i	F	2	392;380;	1897;1776;	2736;2833;	0.180;0.170;
nen4	 nˈən	F	1	493;	1655;	2696;	0.424;
neng2	 nˈəŋ	F	1	499;	1664;	2805;	0.391;
ni2	 nˈi	F	1	380;	1912;	3027;	0.336;
ni3	 nˈi	F	1	327;	1863;	2748;	0.696;
ni4	 nˈi	F	1	333;	1760;	2758;	0.447;
nian2	 nˈi‍ɛn	F	2	366;603;	1777;2083;	2696;2799;	0.178;0.458;
nian3	 nˈi‍ɛn	F	2	357;597;	1992;2080;	2837;2732;	0.823;0.718;
nian4	 nˈi‍ɛn	F	2	306;613;	1924;1998;	2639;2979;	0.549;0.344;
niang2	 nˈi‍ɑŋ	F	2	325;690;	1685;1601;	2625;2403;	0.299;0.569;
niang4	 nˈi‍ɑŋ	F	2	304;694;	1566;1535;	2579;2279;	0.510;0.780;
niao3	 njˈɑ‍u	F	2	628;458;	961;1131;	3203;2708;	0.600;0.695;
niao4	 njˈɑ‍u	F	2	857;379;	1487;1561;	2532;2726;	0.337;0.152;
nie1	 nˈi‍ɛ	F	2	314;665;	1552;1696;	2739;2611;	0.115;0.430;
nie2	 nˈi‍ɛ	F	2	304;714;	1925;1845;	2783;2707;	0.312;0.677;
nie4	 nˈi‍ɛ	F	2	335;694;	1841;1972;	2703;2496;	0.133;0.403;
nin2	 nˈin	F	1	315;	2030;	2801;	0.175;
nin3	 nˈin	F	1	320;	1734;	2776;	0.302;
ning2	 nˈiŋ	F	1	309;	1732;	2778;	0.215;
ning3	 nˈiŋ	F	1	333;	1804;	2696;	0.267;
ning4	 nˈiŋ	F	1	331;	1533;	2592;	0.464;
niu1	 nˈi‍o‍u	F	3	346;525;478;	1848;973;1016;	2708;2546;2558;	0.372;0.597;0.617;
niu2	 nˈi‍o‍u	F	3	305;547;475;	1911;928;889;	2771;2577;2686;	0.154;0.364;0.389;
niu3	 nˈi‍o‍u	F	3	324;661;661;	1728;998;998;	2776;3262;3262;	0.186;0.716;0.716;
niu4	 nˈi‍o‍u	F	3	316;481;409;	1637;1183;1165;	2657;2546;2569;	0.249;0.682;0.677;
nong2	 nˈo‍n‍ɡ	F	1	638;	1017;	3180;	0.486;
nong4	 nˈo‍n‍ɡ	F	1	632;	1118;	2827;	0.310;
nu2	 nˈu	F	1	407;	1034;	2674;	0.509;
nu3	 nˈu	F	1	430;	918;	2670;	0.615;
nu4	 nˈu	F	1	494;	1102;	2767;	0.538;
nuan3	 nˈu‍an	F	2	419;840;	1115;1515;	2924;2277;	0.298;0.513;
nue4	 nˈy‍ɛ	F	2	324;609;	1688;1715;	2737;2567;	0.276;0.591;
nuo2	 nˈu‍o	F	2	556;556;	960;960;	3228;3228;	0.375;0.375;
nuo3	 nˈu‍o	F	2	402;457;	904;1001;	2711;2643;	0.236;0.256;
nuo4	 nˈu‍o	F	2	579;579;	1068;1068;	3023;3023;	0.436;0.436;
nuu3	 nuˈu	F	2	375;375;	1953;1953;	2652;2652;	0.356;0.356;
nuu4	 nuˈu	F	2	409;409;	1672;1672;	2710;2710;	0.607;0.607;
o4	 ˈo	F	1	663;	997;	3285;	0.245;
on1	 ˈon	F	1	614;	885;	3131;	0.254;
ou1	 ˈo‍u	F	2	520;421;	917;787;	2895;2479;	0.159;0.339;
ou3	 ˈo‍u	F	2	535;383;	870;742;	3054;2574;	0.194;0.562;
ou4	 ˈo‍u	F	2	551;412;	850;740;	3145;2843;	0.197;0.252;
pa1	 p‍hˈɑ	F	1	829;	1437;	2111;	0.291;
pa2	 p‍hˈɑ	F	1	851;	1474;	2244;	0.466;
pa4	 p‍hˈɑ	F	1	846;	1537;	2911;	0.468;
pai1	 p‍hˈa‍i	F	2	836;592;	1537;1739;	2500;2754;	0.403;0.528;
pai2	 p‍hˈa‍i	F	2	825;294;	1639;1939;	2442;3036;	0.410;0.570;
pai3	 p‍hˈa‍i	F	2	827;351;	1470;1993;	2746;3035;	0.307;0.771;
pai4	 p‍hˈa‍i	F	2	944;447;	1505;2004;	2465;2725;	0.370;0.540;
pan1	 p‍hˈan	F	1	856;	1517;	2533;	0.585;
pan2	 p‍hˈan	F	1	768;	1521;	2046;	0.469;
pan4	 p‍hˈan	F	1	840;	1592;	2223;	0.397;
pang1	 p‍hˈaŋ	F	1	847;	1434;	2846;	0.408;
pang2	 p‍hˈaŋ	F	1	797;	1557;	2877;	0.241;
pang4	 p‍hˈaŋ	F	1	862;	1422;	2406;	0.413;
pao1	 p‍hˈɑ‍u	F	2	830;494;	1181;867;	2822;2444;	0.399;0.509;
pao2	 p‍hˈɑ‍u	F	2	822;434;	1173;808;	2855;2331;	0.638;0.788;
pao3	 p‍hˈɑ‍u	F	2	816;470;	1278;914;	2901;2782;	0.222;0.621;
pao4	 p‍hˈɑ‍u	F	2	820;622;	1188;958;	2815;2747;	0.335;0.380;
pei1	 p‍hˈe‍i	F	2	420;344;	1799;1859;	2804;2961;	0.380;0.450;
pei2	 p‍hˈe‍i	F	2	418;311;	1985;1989;	2884;2984;	0.310;0.490;
pei4	 p‍hˈe‍i	F	2	359;330;	1916;1729;	2985;2941;	0.388;0.393;
pen1	 p‍hˈən	F	1	486;	1703;	2311;	0.242;
pen2	 p‍hˈən	F	1	403;	1719;	2634;	0.674;
pen3	 p‍hˈən	F	1	533;	1618;	2297;	0.518;
peng1	 p‍hˈəŋ	F	1	491;	1635;	2923;	0.257;
peng2	 p‍hˈəŋ	F	1	525;	1573;	3032;	0.258;
peng3	 p‍hˈəŋ	F	1	506;	1503;	2362;	0.560;
peng4	 p‍hˈəŋ	F	1	417;	1437;	2676;	0.451;
pi1	 p‍hˈi	F	1	374;	1736;	3111;	0.652;
pi2	 p‍hˈi	F	1	278;	1953;	3039;	0.252;
pi3	 p‍hˈi	F	1	325;	2086;	3018;	0.486;
pi4	 p‍hˈi	F	1	363;	1823;	2907;	0.574;
pian1	 p‍hˈi‍ɛn	F	2	317;660;	1627;1990;	2675;2701;	0.755;0.625;
pian2	 p‍hˈi‍ɛn	F	2	420;703;	2088;1853;	2926;2586;	0.384;0.504;
pian4	 p‍hˈi‍ɛn	F	2	370;606;	1826;1895;	2769;2773;	0.515;0.335;
piao1	 p‍hjˈɑ‍u	F	2	779;528;	1208;861;	2335;2257;	0.409;0.519;
piao2	 p‍hjˈɑ‍u	F	2	830;457;	1193;750;	2608;2436;	0.572;0.727;
piao3	 p‍hjˈɑ‍u	F	2	828;513;	1176;913;	3087;2751;	0.789;0.974;
piao4	 p‍hjˈɑ‍u	F	2	841;391;	1178;1017;	2563;2687;	0.448;0.518;
pie1	 p‍hˈi‍ɛ	F	2	337;655;	2200;1773;	2918;2547;	0.230;0.390;
pie3	 p‍hˈi‍ɛ	F	2	389;674;	2306;1806;	3226;2681;	0.497;1.014;
pin1	 p‍hˈin	F	1	358;	1739;	2645;	0.497;
pin2	 p‍hˈin	F	1	401;	1915;	2640;	0.573;
pin3	 p‍hˈin	F	1	357;	1743;	2655;	0.708;
pin4	 p‍hˈin	F	1	393;	2038;	2834;	0.317;
ping1	 p‍hˈiŋ	F	1	474;	1983;	2908;	0.244;
ping2	 p‍hˈiŋ	F	1	378;	2211;	3002;	0.355;
po1	 p‍hˈo	F	1	527;	1012;	2274;	0.545;
po2	 p‍hˈo	F	1	506;	886;	3123;	0.294;
po3	 p‍hˈo	F	1	516;	873;	2980;	0.410;
po4	 p‍hˈo	F	1	549;	918;	3036;	0.230;
pou1	 p‍hˈo‍u	F	2	559;519;	863;728;	3044;3047;	0.475;0.510;
pou2	 p‍hˈo‍u	F	2	543;398;	857;752;	3091;3030;	0.282;0.352;
pou3	 p‍hˈo‍u	F	2	522;396;	899;774;	3091;2642;	0.607;0.825;
pu1	 p‍hˈu	F	1	381;	692;	3149;	0.530;
pu2	 p‍hˈu	F	1	388;	728;	2626;	0.620;
pu3	 p‍hˈu	F	1	381;	787;	2855;	0.287;
pu4	 p‍hˈu	F	1	432;	847;	3128;	0.361;
qi1	 t‍ɕ‍hˈi	F	1	323;	1801;	2936;	0.468;
qi2	 t‍ɕ‍hˈi	F	1	306;	2002;	3082;	0.726;
qi3	 t‍ɕ‍hˈi	F	1	319;	2056;	2887;	0.725;
qi4	 t‍ɕ‍hˈi	F	1	370;	2229;	2899;	0.602;
qia1	 t‍ɕ‍hˈi‍ɑ	F	2	603;805;	1854;1417;	2414;2159;	0.627;0.782;
qia3	 t‍ɕ‍hˈi‍ɑ	F	2	447;853;	1847;1496;	2681;2257;	0.338;0.681;
qia4	 t‍ɕ‍hˈi‍ɑ	F	2	537;1025;	1860;1482;	2781;2090;	0.255;0.350;
qian1	 t‍ɕ‍hˈi‍ɛn	F	2	301;681;	1435;1749;	2316;2503;	0.650;0.540;
qian2	 t‍ɕ‍hˈi‍ɛn	F	2	322;666;	1703;1760;	2458;2405;	0.878;0.773;
qian3	 t‍ɕ‍hˈi‍ɛn	F	2	316;631;	1808;2228;	2752;2801;	0.696;0.450;
qian4	 t‍ɕ‍hˈi‍ɛn	F	2	391;636;	1802;1883;	2918;2512;	0.701;0.681;
qiang1	 t‍ɕ‍hˈi‍ɑŋ	F	2	404;825;	1259;1528;	2593;2608;	0.812;0.752;
qiang2	 t‍ɕ‍hˈi‍ɑŋ	F	2	497;769;	1343;1464;	2749;2419;	0.566;0.516;
qiang3	 t‍ɕ‍hˈi‍ɑŋ	F	2	417;1000;	1971;1629;	2869;2483;	0.300;0.430;
qiang4	 t‍ɕ‍hˈi‍ɑŋ	F	2	608;860;	1700;1538;	2642;2398;	0.336;0.411;
qiao1	 t‍ɕ‍hjˈɑ‍u	F	2	814;484;	1207;677;	2547;2613;	0.318;0.393;
qiao2	 t‍ɕ‍hjˈɑ‍u	F	2	829;472;	1152;831;	3011;2563;	0.613;0.723;
qiao3	 t‍ɕ‍hjˈɑ‍u	F	2	821;418;	1169;810;	2777;3303;	0.614;0.779;
qiao4	 t‍ɕ‍hjˈɑ‍u	F	2	820;770;	1380;1480;	2331;2521;	0.471;0.466;
qie1	 t‍ɕ‍hˈi‍ɛ	F	2	377;649;	2182;1695;	2810;2630;	0.350;0.430;
